jobID,real,guess,pNFound
48310,16.0,7.76,0.76
47476,3.5,0.67,0.00
49352,5.0,3.85,0.86
43923,4.0,2.33,0.83
48271,1.0,0.67,0.00
49507,1.0,1.38,0.33
49653,1.5,2.13,0.40
41131,40.0,0.67,0.00
48198,6.5,10.05,1.00
46520,4.0,0.96,0.50
47057,2.5,0.67,0.00
46153,1.5,0.67,0.00
37825,41.5,49.39,0.91
49055,1.25,1.99,0.80
47391,4.0,3.04,0.88
38555,1.0,0.67,0.00
48348,3.5,6.64,1.00
49421,1.0,0.67,0.00
47316,6.0,4.54,0.88
43353,29.0,18.63,0.84
48970,11.0,0.67,0.00
48326,4.0,0.67,0.00
48327,3.0,2.13,0.67
27393,41.0,36.20,0.87
48335,2.0,4.22,1.00
34656,47.5,1.27,0.10
46806,18.0,21.17,1.00
31390,9.5,6.09,0.88
44302,3.0,2.88,0.71
37688,53.5,38.52,0.85
22750,4.0,2.08,0.75
48339,7.0,10.05,0.91
47588,7.5,5.40,0.75
48242,1.0,0.67,0.00
39807,2.0,0.67,0.00
48557,1.5,1.88,0.62
48190,6.5,3.55,0.81
48345,3.5,2.27,0.60
49367,3.5,4.29,0.67
46941,1.0,0.67,0.00
49428,2.5,0.67,0.00
48995,2.5,1.56,0.50
46796,17.0,5.80,0.58
49311,4.0,0.67,0.00
42664,21.0,9.76,1.00
49692,1.5,0.67,0.00
47600,2.0,1.91,1.00
48110,2.0,1.00,0.33
49389,6.0,0.98,0.33
43204,4.5,0.96,0.50
47898,2.5,0.67,0.00
48280,2.5,2.41,1.00
28139,66.0,34.65,0.82
13843,6.5,6.69,1.00
48132,1.5,2.09,0.57
48316,1.0,0.67,0.00
39453,2.5,3.27,0.88
48375,3.0,1.18,0.50
38820,29.5,33.01,0.91
48368,3.0,0.67,0.00
48380,3.0,0.67,0.00
46476,1.5,2.43,0.83
43223,6.0,1.20,0.40
37305,1.5,0.00,0.75
47601,2.5,4.20,0.86
47909,1.0,0.67,0.00
46513,6.5,0.67,0.00
48112,1.5,1.13,0.67
48390,1.5,0.67,0.00
43472,2.0,6.27,0.94
47918,3.5,4.46,0.69
48394,6.0,2.12,0.80
46460,6.5,1.99,1.00
48071,2.0,0.67,0.00
48398,2.0,2.00,0.80
46027,4.5,4.42,1.00
48238,1.0,0.67,0.00
28141,4.5,4.52,0.87
42620,16.5,13.33,0.75
45588,4.0,2.61,0.57
41216,21.0,19.92,0.82
48416,1.0,0.67,0.00
47877,31.5,15.43,1.00
37345,51.5,32.33,0.86
22538,66.0,51.04,0.89
45456,2.0,1.95,0.71
42893,4.5,9.08,0.81
31258,31.0,41.33,1.00
18375,14.0,30.30,0.85
48219,11.5,1.19,0.33
46456,36.5,29.25,0.95
47359,22.0,4.55,0.90
48435,2.0,1.69,0.67
40364,28.5,24.81,0.87
46634,4.5,2.49,0.64
48328,2.5,1.41,0.67
48441,1.5,1.52,0.40
26625,3.0,10.98,0.91
46413,6.5,5.05,0.70
36872,1.0,1.57,0.50
48385,1.0,2.06,1.00
47572,1.5,0.67,0.00
48449,1.0,1.29,0.67
48452,2.0,0.67,0.00
48454,4.0,6.24,0.80
48459,4.0,0.67,0.00
40987,65.5,285.77,0.85
43289,10.5,10.85,1.00
48471,3.0,1.17,0.20
44211,3.0,0.67,0.00
48481,2.5,6.68,1.00
12944,95.5,97.23,0.76
45018,10.5,11.13,0.80
26743,5.0,3.69,0.50
46539,14.5,0.67,0.00
48434,2.5,2.31,0.86
48483,3.0,2.38,0.80
48484,3.0,5.21,1.00
42996,37.5,42.67,0.92
48486,1.0,0.67,0.00
46106,4.0,5.45,0.67
46746,4.0,4.58,0.86
48473,7.0,0.67,0.00
44239,6.5,7.62,0.89
48490,2.0,0.93,0.67
33559,18.5,23.68,0.92
48343,4.0,5.16,0.92
42655,5.5,7.25,1.00
48531,1.0,0.67,0.00
37935,7.0,6.95,1.00
36461,94.5,7.58,0.52
48252,6.0,2.70,1.00
44988,33.5,5.91,0.55
48514,2.0,0.67,0.00
48296,1.0,0.79,0.25
48418,2.0,2.03,0.75
48533,16.0,20.19,1.00
48532,2.5,1.25,0.50
47220,10.0,0.67,0.00
48309,2.5,3.11,0.75
46006,1.0,0.66,0.50
48547,3.5,0.95,1.00
48518,2.0,3.05,0.86
48446,6.0,1.99,0.71
48039,7.0,1.91,0.83
46351,6.5,6.18,0.93
48569,1.0,0.67,0.00
43501,19.0,9.91,0.88
48508,3.0,1.71,0.67
48388,6.0,4.03,0.75
39176,13.0,15.48,0.97
46072,1.0,0.67,0.00
48578,1.0,1.25,0.50
33961,105.5,32.41,0.93
47499,10.5,14.28,0.96
47260,4.0,3.44,1.00
48522,5.5,7.30,0.77
48373,3.5,0.67,0.00
47926,4.0,3.48,1.00
48500,1.0,0.67,0.00
48595,4.0,1.36,1.00
48589,4.0,1.76,0.75
36993,6.0,0.98,0.25
46049,4.0,5.88,0.83
44593,5.5,14.42,1.00
48605,6.5,0.67,0.00
46648,13.0,10.34,0.95
47644,3.0,3.51,0.75
40210,38.0,26.23,0.84
45658,2.0,0.67,0.00
46788,12.0,6.81,0.83
47574,27.5,32.36,0.96
37563,14.0,8.65,0.72
48618,7.0,20.86,0.95
47285,4.5,4.54,1.00
46198,1.5,1.23,0.50
45075,9.0,3.67,0.56
45028,27.0,42.56,0.88
48626,1.0,1.16,1.00
48619,1.0,1.63,0.40
47837,8.0,0.67,0.00
30716,8.0,2.88,0.44
48627,3.25,5.94,1.00
34234,18.5,9.58,0.87
48631,2.0,1.68,0.75
36126,18.5,14.16,0.81
48406,3.5,2.82,0.60
48472,5.0,11.15,0.85
48436,1.5,0.67,0.00
48494,1.5,0.67,0.00
48636,10.0,0.67,0.00
48642,3.0,1.85,0.75
26124,97.5,0.67,0.00
47537,26.0,6.69,0.86
45021,12.5,10.28,0.79
48353,1.25,4.40,0.89
38792,9.0,12.43,0.96
48338,14.0,17.40,0.94
48549,3.0,0.67,0.00
43517,15.5,22.87,0.79
48652,4.0,0.67,0.00
48355,3.0,4.57,0.80
48681,1.5,0.94,1.00
47426,13.5,0.67,0.00
48690,1.0,4.33,0.89
44647,29.5,23.91,0.94
45247,3.5,2.78,0.71
48443,1.5,1.65,0.75
46447,5.5,0.67,0.00
48661,12.0,7.47,1.00
46708,2.0,0.67,0.00
46393,5.5,0.67,0.00
48686,1.5,1.30,0.33
45936,2.0,1.01,0.50
44828,3.0,2.76,0.60
46200,36.5,46.37,0.84
46870,7.5,5.14,0.81
48558,2.0,2.76,0.70
44557,1.5,0.97,0.33
41489,2.0,0.97,0.50
48694,0.5,0.67,0.00
48698,2.0,2.40,0.75
48474,2.5,1.21,1.00
48101,2.5,1.74,0.33
48598,1.0,0.67,0.00
45576,27.0,17.63,1.00
48026,1.5,0.67,0.00
48699,1.5,0.67,0.00
48254,4.0,2.18,1.00
47784,11.5,8.79,0.58
48717,1.5,1.22,0.50
48718,1.5,1.18,0.50
48633,1.0,0.92,1.00
15588,10.5,20.94,0.88
48582,3.0,2.58,0.62
46686,2.5,3.28,0.60
45689,2.5,3.79,0.92
44265,44.0,15.37,0.60
48516,3.0,0.67,0.00
48233,5.5,0.67,0.00
48678,1.5,0.67,0.00
47720,4.0,1.91,1.00
48591,1.0,1.89,0.80
48229,3.0,1.98,0.43
28061,68.0,5.25,0.89
48756,2.0,0.67,0.00
48752,3.5,2.76,0.60
43444,32.0,0.67,0.00
38722,97.5,0.67,0.00
44399,9.0,9.82,0.77
45023,3.0,0.67,0.00
47547,2.0,1.79,0.36
48671,1.5,1.75,0.50
46826,20.0,1.29,1.00
48646,2.0,0.67,0.00
48386,3.0,1.36,0.33
48550,1.0,0.67,0.00
48552,4.0,1.93,1.00
47948,2.0,0.67,0.00
46288,5.0,0.67,0.00
44480,13.5,13.38,0.81
41769,138.0,137.62,0.88
43946,3.0,0.67,0.00
48778,3.0,0.97,0.50
48780,2.5,1.06,0.50
36712,11.5,2.61,0.50
48782,2.0,1.09,0.33
48787,0.5,0.67,0.00
48790,1.5,1.78,0.33
48783,2.0,0.80,0.33
48791,2.0,1.42,0.33
48637,10.0,11.32,0.68
41561,36.0,8.71,0.68
45025,24.0,20.30,0.92
39673,1.0,0.67,0.00
48401,1.0,1.16,1.00
35063,100.0,36.97,0.94
48705,1.0,1.83,0.43
46383,49.0,0.67,0.00
40372,15.5,7.07,0.70
48825,2.0,4.79,0.73
48723,1.0,0.67,0.00
48833,2.0,2.42,0.80
48451,2.5,1.64,0.50
48837,1.0,0.67,0.00
44068,6.0,0.67,0.00
48819,3.0,1.65,1.00
37700,7.0,3.52,0.71
48604,2.0,3.06,0.75
48733,13.5,0.67,0.00
45373,5.0,7.06,0.89
47700,19.5,7.36,0.40
48142,3.0,2.95,1.00
31157,4.0,7.00,0.78
48851,2.0,0.67,0.00
45696,16.6,9.66,1.00
48759,3.0,2.97,0.83
44219,42.5,6.05,0.27
48859,1.5,1.39,0.75
43368,8.0,5.31,0.83
48868,1.5,0.67,0.00
46930,4.5,2.28,0.71
42995,17.0,12.51,0.86
47915,6.0,0.67,0.00
48858,3.5,1.38,0.60
48881,1.5,1.01,1.00
46726,2.0,1.32,0.50
37439,25.5,19.46,0.92
47692,15.5,9.09,0.74
45197,7.0,9.18,0.84
46518,1.0,0.67,0.00
46367,3.0,0.67,0.00
46873,3.0,0.67,0.00
48906,2.0,2.23,1.00
47678,5.0,3.32,0.83
43181,5.0,1.88,0.33
47679,5.5,4.63,0.92
48905,1.5,0.95,1.00
47677,5.5,3.70,0.86
41537,51.0,38.45,0.90
45806,13.0,10.62,0.76
47950,4.0,2.24,0.75
48060,6.0,7.44,0.87
48909,9.0,0.67,0.00
29080,17.0,29.41,0.94
40866,10.5,25.83,0.96
48080,3.5,2.07,0.80
25513,8.0,0.67,0.00
42191,10.5,12.19,0.80
42879,2.0,1.72,0.40
48700,2.5,4.38,0.85
48022,46.0,3.31,0.08
48933,1.0,1.50,1.00
45146,5.5,0.67,0.00
48938,4.5,0.67,0.00
25249,7.0,0.67,0.00
16891,62.5,13.85,0.79
48709,2.0,1.12,1.00
48936,2.0,2.04,1.00
43671,25.5,5.41,0.67
48959,0.5,1.01,1.00
43057,51.0,37.49,0.80
47862,3.5,0.67,0.00
48670,2.0,2.72,0.80
45685,25.0,1.26,1.00
48894,1.0,1.36,0.75
48364,18.5,12.30,0.83
47552,1.0,1.10,1.00
47469,2.0,0.67,0.00
48981,1.0,0.99,0.50
48983,12.0,10.11,0.90
48978,1.0,0.67,0.00
47242,13.5,9.14,0.95
45292,16.0,5.98,0.86
34785,8.0,7.19,0.82
47427,18.0,0.67,0.00
41088,27.5,44.40,0.69
32554,9.0,0.97,0.50
47408,3.5,3.70,0.83
48984,2.0,0.67,0.00
44607,2.5,2.39,0.75
46945,11.0,9.26,1.00
48728,9.0,9.00,0.70
48358,1.5,0.67,0.00
45586,16.5,13.17,1.00
48990,2.0,0.67,0.00
48956,12.5,0.67,0.00
26953,32.5,30.29,1.00
43071,2.0,1.55,0.67
24546,54.5,16.60,0.62
49010,1.0,2.24,0.75
49022,1.0,0.67,0.00
49019,2.0,0.67,0.00
49004,1.0,0.67,0.00
43112,44.5,13.61,0.97
49024,1.5,0.73,0.50
35141,4.5,0.67,0.00
49021,3.0,0.67,0.00
22636,15.0,8.03,1.00
49030,7.5,0.67,0.00
49035,5.0,8.05,0.89
49033,1.5,1.15,0.50
44927,6.5,2.31,0.44
48911,3.5,3.21,0.88
48910,1.0,2.37,0.75
49012,1.0,0.67,0.00
49040,1.5,0.67,0.00
45200,1.5,6.32,1.00
48821,3.5,1.94,0.50
48988,1.5,2.10,0.80
48903,1.0,0.67,0.00
49050,1.0,0.67,0.00
23049,9.0,6.69,0.83
49052,21.0,30.55,1.00
33041,42.5,221.65,0.79
48649,1.0,1.51,0.33
48892,2.0,1.16,0.50
47688,1.0,1.59,0.50
41445,7.5,14.49,0.92
49060,7.0,2.60,0.67
49072,2.0,0.95,0.67
48539,1.0,1.01,1.00
49078,2.0,0.70,0.67
48621,2.0,0.67,0.00
44997,8.0,14.49,1.00
48944,1.0,1.84,0.75
49091,1.0,2.59,1.00
49001,3.0,3.91,0.83
49096,1.5,0.67,0.00
49099,1.0,0.67,0.00
40333,2.0,2.27,1.00
49102,2.0,3.78,1.00
49104,4.0,10.14,0.88
43243,12.0,13.50,0.90
49112,1.5,1.85,0.80
48972,1.0,0.67,0.00
49116,2.5,0.67,0.00
31071,2.0,0.67,0.00
49119,1.0,0.67,0.00
49122,3.0,0.67,0.00
49118,2.5,0.67,0.00
46622,7.5,10.65,1.00
48986,3.0,0.67,0.00
48109,1.0,0.67,0.00
28323,76.0,34.81,0.89
31876,62.0,41.38,0.90
48876,2.0,1.48,0.33
45432,1.5,0.67,0.00
49135,3.0,0.67,0.00
49043,2.5,3.28,0.86
48697,15.0,7.20,0.89
39127,4.5,4.12,0.75
35881,6.5,2.10,0.29
41921,33.0,26.87,0.89
49157,2.5,1.29,1.00
49162,2.0,1.39,0.50
49159,4.5,2.27,0.75
49163,2.0,1.29,0.50
49058,1.0,1.79,1.00
49161,4.0,2.53,0.80
49171,2.0,1.51,0.60
49174,13.0,8.51,0.38
49070,3.5,5.21,0.91
47769,6.5,1.37,0.43
48257,3.5,0.67,0.00
46070,2.5,6.73,0.94
49184,5.0,3.77,0.88
48028,3.0,4.45,0.64
34534,12.5,17.29,0.70
45983,6.0,2.30,0.50
49204,5.0,0.67,0.00
34669,6.0,34.93,1.00
49214,8.5,1.52,0.50
47970,23.5,0.67,0.00
28782,48.0,48.48,1.00
49227,4.0,10.39,0.88
49200,3.0,3.76,0.69
49063,2.0,1.93,0.80
45443,42.5,5.89,0.90
30042,4.5,1.07,0.17
45906,5.0,3.61,0.56
49231,1.5,1.52,0.67
40518,32.0,0.67,0.00
49197,2.5,3.54,1.00
49234,4.0,1.18,0.50
46434,15.5,10.25,0.91
49249,2.0,2.70,0.86
45123,4.5,1.14,0.50
35096,26.5,4.28,0.93
48305,2.0,1.68,0.75
29930,20.0,17.60,0.92
49253,2.5,1.50,0.50
49199,5.0,2.82,0.80
49210,1.0,1.02,0.33
49243,4.5,0.67,0.00
48590,3.0,2.17,0.50
48584,20.0,22.21,0.90
49276,1.5,0.79,0.50
49282,3.0,2.22,0.71
48872,6.5,0.67,0.00
38111,3.0,0.67,0.00
49224,13.0,2.08,1.00
49207,5.5,3.23,1.00
48374,1.0,0.67,0.00
48739,1.5,0.88,0.50
41880,4.0,6.83,0.92
45669,4.5,5.20,0.91
39320,124.25,13.32,0.62
35552,4.5,4.76,0.89
27689,5.5,0.90,0.25
49331,3.0,1.28,0.67
46293,17.5,6.66,0.83
49346,2.0,0.67,0.00
49355,1.5,2.05,0.67
49357,1.5,1.49,0.83
49320,2.0,0.67,0.00
49356,2.0,0.67,0.00
49362,2.5,2.39,0.57
49230,1.5,1.61,0.33
49194,3.5,0.67,0.00
48997,3.0,0.85,0.33
45668,3.5,3.05,0.90
19703,8.5,8.05,0.74
49209,1.5,1.27,0.25
43943,7.0,0.67,0.00
49372,1.0,24.30,0.86
49371,2.0,0.95,0.50
41022,22.0,7.88,0.79
40129,3.0,1.84,0.75
45288,14.5,1.64,0.60
49375,4.0,3.16,1.00
49393,1.0,2.37,0.83
49364,1.0,0.67,0.00
49413,1.0,1.44,1.00
45986,25.0,0.67,0.00
49407,4.0,1.30,1.00
49422,4.0,4.87,0.61
43912,2.5,1.13,1.00
42147,27.0,26.82,1.00
46135,3.0,1.21,1.00
48873,9.0,7.62,0.89
49013,3.0,2.86,0.62
26347,22.75,1.60,0.67
49429,7.5,9.96,0.91
49427,3.0,1.76,1.00
48580,5.5,2.19,1.00
49332,1.0,0.87,1.00
48513,7.0,3.62,0.71
40422,19.0,5.15,0.59
49437,3.5,2.93,0.92
49464,1.5,0.67,0.00
49265,2.5,0.67,0.00
49316,17.0,0.67,0.00
49467,4.0,5.18,0.92
49431,3.5,2.52,1.00
49478,1.0,1.22,0.50
46431,6.0,4.03,0.80
